,en,es,de,ja,fr,it,pt
AIDEEN,Aideen,Aideen,Aideen,エーディン,Aideen,Aideen,Aideen
ALEC,Alec,Alec,Alec,アレク,Alec,Alec,Alec
ALVAR,Alvar,Alvar,Alvar,アルヴァ,Alvar,Alvar,Alvar
ARDEN,Arden,Arden,Arden,アーダン,Arden,Arden,Arden
ARVIS,Arvis,Arvis,Arvis,アルヴィス,Arvis,Arvis,Arvis
AYRA,Ayra,Ayra,Ayra,アイラ,Ayra,Ayra,Ayra
AZEL,Azel,Azel,Azel,アゼル,Azel,Azel,Azel
BEOWULF,Beowulf,Beowulf,Beowulf,ベオウルフ,Beowulf,Beowulf,Beowulf
BOLDOR,Boldor,Boldor,Boldor,ボルドー,Boldor,Boldor,Boldor
BRIGID,Brigid,Brigid,Brigid,ブリギッド,Brigid,Brigid,Brigid
CHAGALL,Chagall,Chagall,Chagall,シャガール,Chagall,Chagall,Chagall
CLAUDE,Claude,Claude,Claude,クロード,Claude,Claude,Claude
CLEMENT,Clement,Clement,Clement,クレメント,Clement,Clement,Clement
DEIRDRE,Deirdre,Deirdre,Deirdre,ディアドラ,Deirdre,Deirdre,Deirdre
DEW,Dew,Dew,Dew,デュー,Dew,Dew,Dew
DIMAGGIO,DiMaggio,DiMaggio,DiMaggio,デマジオ,DiMaggio,DiMaggio,DiMaggio
ELDIGAN,Eldigan,Eldigan,Eldigan,エルトシャン,Eldigan,Eldigan,Eldigan
ELLIOT,Elliot,Elliot,Elliot,エリオット,Elliot,Elliot,Elliot
ERINYS,Erinys,Erinys,Erinys,フュリー,Erinys,Erinys,Erinys
ETHLYN,Ethlyn,Ethlyn,Ethlyn,エスリン,Ethlyn,Ethlyn,Ethlyn
EVE,Eve,Eve,Eve,イーヴ,Eve,Eve,Eve
EVAR,Evar,Evar,Evar,エヴァ,Evar,Evar,Evar
FAKEHOLYN,Cú Chulainn,Cú Chulainn,Cú Chulainn,ホリン,Cú Chulainn,Cú Chulainn,Cú Chulainn
FINN,Finn,Finn,Finn,フィン,Finn,Finn,Finn
GANDOLF,Gandolf,Gandolf,Gandolf,ガンドルフ,Gandolf,Gandolf,Gandolf
GENOAGUARD,Commander,Commander,Commander,Commander,Commander,Commander,Commander
GERRARD,Gerrard,Gerrard,Gerrard,ゲラルド,Gerrard,Gerrard,Gerrard
HOLYN,Holyn,Holyn,Holyn,ホリン,Holyn,Holyn,Holyn
JAMKE,Jamke,Jamke,Jamke,ジャムカ,Jamke,Jamke,Jamke
KINBOIS,Kinbois,Kinbois,Kinbois,キンボイス,Kinbois,Kinbois,Kinbois
LACHESIS,Lachesis,Lachesis,Lachesis,ラケシス,Lachesis,Lachesis,Lachesis
LEWYN,Lewyn,Lewyn,Lewyn,レヴィン,Lewyn,Lewyn,Lewyn
LEX,Lex,Lex,Lex,レックス,Lex,Lex,Lex
MACBETH,Macbeth,Macbeth,Macbeth,マクベス,Macbeth,Macbeth,Macbeth
MIDIR,Midir,Midir,Midir,ミデェール,Midir,Midir,Midir
NOISH,Noish,Noish,Noish,ノイッシュ,Noish,Noish,Noish
NORDIONGUARD,Cross Knight,Cross Knight,Cross Knight,Cross Knight,Cross Knight,Cross Knight,Cross Knight
PHILLIP,Philip,Philip,Philip,フィリップ,Philip,Philip,Philip
QUAN,Quan,Quan,Quan,キュアン,Quan,Quan,Quan
SANDIMA,Sandima,Sandima,Sandima,サンディマ,Sandima,Sandima,Sandima
SIGURD,Sigurd,Sigurd,Sigurd,シグルド,Sigurd,Sigurd,Sigurd
SYLVIA,Sylvia,Sylvia,Sylvia,シルヴィア,Sylvia,Sylvia,Sylvia
TAILTIU,Tailtiu,Tailtiu,Tailtiu,ティルテュ,Tailtiu,Tailtiu,Tailtiu
VOLTZ,Waltz,Waltz,Waltz,ヴォルツ,Waltz,Waltz,Waltz
ZAIN,Zane,Zane,Zane,ザイン,Zane,Zane,Zane
BUCKS,Bucks,Bucks,Bucks,バクス,Bucks,Bucks,Bucks
COIRPRE,Coirpre,Coirpre,Coirpre,コープル,Coirpre,Coirpre,Coirpre
DAGDAR,Dagdar,Dagdar,Dagdar,ダグダ,Dagdar,Dagdar,Dagdar
EYVEL,Eyvel,Eyvel,Eyvel,エーヴェル,Eyvel,Eyvel,Eyvel
HALVAN,Halvan,Halvan,Halvan,ハルヴァン,Halvan,Halvan,Halvan
LARA,Lara,Lara,Lara,ラーラ,Lara,Lara,Lara
LEIF,Leif,Leif,Leif,リーフ,Leif,Leif,Leif
LIFIS,Lifis,Lifis,Lifis,リフィス,Lifis,Lifis,Lifis
MAREETA,Mareeta,Mareeta,Mareeta,マリータ,Mareeta,Mareeta,Mareeta
MARTY,Marty,Marty,Marty,マーティ,Marty,Marty,Marty
NANNA,Nanna,Nanna,Nanna,ナンナ,Nanna,Nanna,Nanna
OSIAN,Osian,Osian,Osian,オーシン,Osian,Osian,Osian
RAYDRIK,Raydrik,Raydrik,Raydrik,レイドリック,Raydrik,Raydrik,Raydrik
RONAN,Ronan,Ronan,Ronan,ロナン,Ronan,Ronan,Ronan
SAFY,Safy,Safy,Safy,サフィ,Safy,Safy,Safy
SHIVA,Shiva,Shiva,Shiva,シヴァ,Shiva,Shiva,Shiva
TANYA,Tanya,Tanya,Tanya,タニア,Tanya,Tanya,Tanya
WEISSMAN,Weismann,Weismann,Weismann,ワイズマン,Weismann,Weismann,Weismann
MUIRNE,Muirne,Muirne,Muirne,マナ,Muirne,Muirne,Muirne
CREIDNE,Creidne,Creidne,Creidne,ラドネイ,Creidne,Creidne,Creidne
DALVIN,Dalvin,Dalvin,Dalvin,ロドルバン,Dalvin,Dalvin,Dalvin
OIFEY,Oifaye,Oifaye,Oifaye,オイフェ,Oifaye,Oifaye,Oifaye
TRISTAN,Tristan,Tristan,Tristan,トリスタン,Tristan,Tristan,Tristan
DEIMNE,Deimne,Deimne,Deimne,ディムナ,Deimne,Deimne,Deimne
JULIA,Julia,Julia,Julia,ユリア,Julia,Julia,Julia
HERMINA,Hermina,Hermina,Hermina,フェミナ,Hermina,Hermina,Hermina
AMID,Amid,Amid,Amid,アミッド,Amid,Amid,Amid
JOHAN,Iuchar,Iuchar,Iuchar,ヨハン,Iuchar,Iuchar,Iuchar
JOHALVA,Iucharba,Iucharba,Iucharba,ヨハルヴァ,Iucharba,Iucharba,Iucharba
SHANNAN,Shannan,Shannan,Shannan,シャナン,Shannan,Shannan,Shannan
DAISY,Daisy,Daisy,Daisy,デイジー,Daisy,Daisy,Daisy
JEANNE,Jeanne,Jeanne,Jeanne,ジャンヌ,Jeanne,Jeanne,Jeanne
ARES,Ares,Ares,Ares,アレス,Ares,Ares,Ares
LAYLEA,Laylea,Laylea,Laylea,レイリア,Laylea,Laylea,Laylea
LINDA,Linda,Linda,Linda,リンダ,Linda,Linda,Linda
ASAELLO,Asaello,Asaello,Asaello,アサエロ,Asaello,Asaello,Asaello
HAWK,Hawk,Hawk,Hawk,ホーク,Hawk,Hawk,Hawk
HANNIBAL,Hannibal,Hannibal,Hannibal,ハンニバル,Hannibal,Hannibal,Hannibal
CHARLOT,Charlot,Charlot,Charlot,シャルロー,Charlot,Charlot,Charlot
BRIGHTON,Brighton,Brighton,Brighton,ブライトン,Brighton,Brighton,Brighton
MACHYUA,Machyua,Machyua,Machyua,マチュア,Machyua,Machyua,Machyua
FERGUS,Fergus,Fergus,Fergus,フェルグス,Fergus,Fergus,Fergus
KARIN,Karin,Karin,Karin,カリン,Karin,Karin,Karin
DALSIN,Dalsin,Dalsin,Dalsin,ダルシン,Dalsin,Dalsin,Dalsin
ASBEL,Asbel,Asbel,Asbel,アスベル,Asbel,Asbel,Asbel
HICKS,Hicks,Hicks,Hicks,ヒックス,Hicks,Hicks,Hicks
CARRION,Carrion,Carrion,Carrion,カリオン,Carrion,Carrion,Carrion
SELPHINA,Selphina,Selphina,Selphina,セルフィナ,Selphina,Selphina,Selphina
CAIN,Cain,Cain,Cain,ケイン,Cain,Cain,Cain
