,en,es,de,ja,fr,it,pt
ITEM_IRONSWORD,Iron Sword,Espada de hierro,Eisenschwert,てつの剣,Epée-fer,Spada ferro,Iron Sword
ITEM_STEELSWORD,Steel Sword,Espada de acero,Stahlschwert,はがねの剣,Epée-acier,Spada acciaio,Steel Sword
ITEM_SILVERSWORD,Silver Sword,Espada de plata,Silberschwert,ぎんの剣,Epée-argent,Spada argento,Silver Sword
ITEM_IRONBLADE,Iron Blade,Sable de hierro,Eisenklinge,てつの大剣,Lame-fer,Lama ferro,Iron Blade
ITEM_STEELBLADE,Steel Blade,Sable de acero,Stahlklinge,はがねの大剣,Lame-acier,Lama acciaio,Steel Blade
ITEM_SILVERBLADE,Silver Blade,Sable de plata,Silberklinge,ぎんの大剣,Lame-argent,Lama argento,Silver Blade
ITEM_MIRACLESWORD,Miracle sword,Miracle sword,Miracle sword,いのりの剣,Miracle sword,Miracle sword,Miracle sword
ITEM_THIEFSSWORD,Thief's sword,Thief's sword,Thief's sword,とうぞくの剣,Thief's sword,Thief's sword,Thief's sword
ITEM_BERSERKEDGE,Berserk edge,Berserk edge,Berserk edge,バサークの剣,Berserk edge,Berserk edge,Berserk edge
ITEM_BRAVESWORD,Brave Sword,Espada del valor,Kriegerschwert,ゆうしゃの剣,Epée héros,Spada forte,Brave Sword
ITEM_SLEEPEDGE,Sleep edge,Sleep edge,Sleep edge,スリープの剣,Sleep edge,Sleep edge,Sleep edge
ITEM_SLIMSWORD,Slim Sword,Espada delgada,Leichtschwert,ほそみの剣,Epée fine,Spada sottile,Slim Sword
ITEM_SHIELDSWORD,Shield Sword,Salvaguardia,Abschirmung,まもりの剣,Épée protectrice,Salvaguardia,Shield Sword
ITEM_BARRIERSWORD,Barrier Sword,Hoja defensiva,Barriereklinge,バリアの剣,Lame barrière,Lama barriera,Barrier Sword
ITEM_EARTHSWORD,Earth Sword,Espada terrestre,Erdschwert,だいちの剣,Épée terrestre,Spada terrestre,Earth Sword
ITEM_FLAMESWORD,Flame sword,Flame sword,Flame sword,ほのおの剣,Flame sword,Flame sword,Flame sword
ITEM_BOLTSWORD,Bolt Sword,Espada rayo,Blitzschwert,いかずちの剣,Épée foudre,Spada folgore,Bolt Sword
ITEM_WINDSWORD,Wind Sword,Espada de viento,Windschwert,かぜの剣,Eolame,Spada di vento,Wind Sword
ITEM_LIGHTBRAND,Light Brand,Espada luminosa,Lichtklinge,ひかりの剣,Épée-Lumière,Spada di luce,Light Brand
ITEM_ARMORSLAYER,Armorslayer,Machacacorazas,Panzerbrecher,ざんてつの剣,Cuiracide,Frangicotta,Armorslayer
ITEM_WINGSLAYER,Wingslayer,Cortaplumas,Flügelstutzer,つばめがえし,Coupe-ailes,Tarpa ali,Wingslayer
ITEM_BROKENSWORD,Broken Sword,Espada rota,Zerbrochenes Schwert,こわれた剣,Épée cassée,Spada rotta,Broken Sword
ITEM_SILENCEEDGE,Silence edge,Silence edge,Silence edge,サイレスの剣,Silence edge,Silence edge,Silence edge
ITEM_IRONLANCE,Iron Lance,Lanza de hierro,Eisenlanze,てつのやり,Lance-fer,Lancia ferro,Iron Lance
ITEM_STEELLANCE,Steel Lance,Lanza de acero,Stahllanze,はがねのやり,Lance-acier,Lancia acciaio,Steel Lance
ITEM_SILVERLANCE,Silver Lance,Lanza de plata,Silberlanze,ぎんのやり,Lance-argent,Lancia argento,Silver Lance
ITEM_JAVELIN,Javelin,Jabalina,Langspeer,てやり,Javelot,Giavellotto,Javelin
ITEM_HORSESLAYER,Horseslayer,Antijinetes,Rittertod,ナイトキラー,Caballucide,Picca,Horseslayer
ITEM_BRAVELANCE,Brave Lance,Lanza del valor,Kriegerlanze,ゆうしゃのやり,Lance héros,Lancia forte,Brave Lance
ITEM_SLIMLANCE,Slim Lance,Lanza delgada,Leichtlanze,ほそみのやり,Lance fine,Lancia sottile,Slim Lance
ITEM_BROKENLANCE,Broken Lance,Lanza rota,Zerbrochene Lanze,こわれたやり,Lance cassée,Lancia rotta,Broken Lance
ITEM_IRONAXE,Iron Axe,Hacha de hierro,Eisenaxt,てつのおの,Hache-fer,Ascia ferro,Iron Axe
ITEM_STEELAXE,Steel Axe,Hacha de plata,Stahlaxt,はがねのおの,Hache-acier,Ascia acciaio,Steel Axe
ITEM_SILVERAXE,Silver Axe,Hacha plata,Silberaxt,ぎんのおの,Hache argent,Ascia argento,Silver Axe
ITEM_BRAVEAXE,Brave Axe,Hacha del valor,Kriegeraxt,ゆうしゃのおの,Hache héros,Ascia forte,Brave Axe
ITEM_HANDAXE,Hand Axe,Hacha de mano,Wurfbeil,ておの,Hachette,Scure,Hand Axe
ITEM_BROKENAXE,Broken Axe,Hacha rota,Zerbrochene Axt,こわれたおの,Hache cassée,Ascia rotta,Broken Axe
ITEM_IRONBOW,Iron Bow,Arco de hierro,Eisenbogen,てつのゆみ,Arc-fer,Arco ferro,Iron Bow
ITEM_STEELBOW,Steel Bow,Arco de acero,Stahlbogen,はがねのゆみ,Arc-acier,Arco acciaio,Steel Bow
ITEM_SILVERBOW,Silver Bow,Arco de plata,Silberbogen,ぎんのゆみ,Arc-argent,Arco argento,Silver Bow
ITEM_BRAVEBOW,Brave Bow,Arco del valor,Kriegerbogen,ゆうしゃのゆみ,Arc héros,Arco forte,Brave Bow
ITEM_KILLERBOW,Killer Bow,Arco asesino,Meisterbogen,キラーボウ,Arc létal,Arco letale,Killer Bow
ITEM_BROKENBOW,Broken Bow,Arco roto,Zerbrochener Bogen,こわれたゆみ,Arc cassé,Arco rotto,Broken Bow
ITEM_BALLISTA,Ballista,Ballesta,Ballista,ロングアーチ,Baliste,Balista,Ballista
ITEM_KILLERBALLISTA,Killer Ballista,Ballesta asesina,Meister-Ballista,キラーアーチ,Baliste létale,Balista letale,Killer Ballista
ITEM_IRONBALLISTA,Iron Ballista,Ballesta de hierro,Eisen-Ballista,アイアンアーチ,Baliste-fer,Balista ferro,Iron Ballista
ITEM_GREATBALLISTA,Great ballista,Great ballista,Great ballista,グレートアーチ,Great ballista,Great ballista,Great ballista
ITEM_FIRE,Fire,Fuego,Feuer,ファイアー,Feu,Fuoco,Fire
ITEM_ELFIRE,Elfire,Elfire,Elfenlicht,エルファイアー,Inferno,Fuoco d'elfo,Elfire
ITEM_BOLGANONE,Bolganone,Bolganone,Bolganone,ボルガノン,Bolganone,Bolganone,Bolganone
ITEM_METEOR,Meteor,Meteorito,Meteor,メティオ,Météorite,Meteora,Meteor
ITEM_THUNDER,Thunder,Trueno,Donner,サンダー,Foudre,Tuono,Thunder
ITEM_ELTHUNDER,Elthunder,Elthunder,Elfendonner,エルサンダー,Eclairs,Lampi d'elfo,Elthunder
ITEM_THORON,Thoron,Grimorio Thoron,Thorons Macht,トローン,Tome de Thoron,Tomo di Thoron,Thoron
ITEM_BOLTING,Bolting,Rayos,Gewitter,サンダストーム,Fulguration,Tempesta,Bolting
ITEM_WIND,Wind,Aire,Wind,ウインド,Vent,Vento,Wind
ITEM_ELWIND,Elwind,Elwind,Elfenwind,エルウインド,Tempête,Vento d'elfo,Elwind
ITEM_TORNADO,Tornado,Tornado,Tornado,トルネード,Tornade,Tornado,Tornado
ITEM_BLIZZARD,Blizzard,Ventisca,Blizzard,ブリザード,Blizzard,Bufera,Blizzard
ITEM_LIGHTNING,Lightning,Relámpago,Blitz,ライトニング,Lumière,Lampo,Lightning
ITEM_AURA,Aura,Aura,Aura,オーラ,Aura,Aurora,Aura
ITEM_NOSFERATU,Nosferatu,Nosferatu,Nosferatu,リザイア,Nosferatu,Nosferatu,Nosferatu
ITEM_JORMUNGAND,Jormungand,Jormungand,Jormungand,ヨツムンガンド,Jormungand,Jormungand,Jormungand
ITEM_FENRIR,Fenrir,Fenrir,Fenrir,フェンリル,Fenrir,Fenrir,Fenrir
ITEM_HEL,Hel,Hel,Hel,ヘル,Hel,Hel,Hel
ITEM_DRAINEDTOME,Drained tome,Drained tome,Drained tome,きえたまどう書,Drained tome,Drained tome,Drained tome
ITEM_HEAL,Heal,Curar,Heilung,ライブの杖,Soin,Cura,Heal
ITEM_MEND,Mend,Mejorar,Pflege,リライブの杖,Cure,Rimedio,Mend
ITEM_RECOVER,Recover,Recuperar,Erholung,リカバーの杖,Restitution,Recupero,Recover
ITEM_PHYSIC,Physic,Sanar,Purgativ,リブローの杖,Remède,Lenimento,Physic
ITEM_FORTIFY,Fortify,Fortalecer,Stärkung,リザーブの杖,Halo,Balsamo,Fortify
ITEM_RETURN,Return,Regreso,Rückkehr,リターンの杖,Retour,Ritorno,Return
ITEM_WARP,Warp,Transportar,Teleport,ワープの杖,Téléport,Teletrasportare,Warp
ITEM_RESCUE,Rescue,Rescatar,Rettung,レスキューの杖,Secours,Soccorso,Rescue
ITEM_RESTORE,Restore,Restaurar,Erneuerung,レストの杖,Vitalis,Ripristino,Restore
ITEM_SILENCE,Silence,Silenciar,Schweigen,サイレスの杖,Silence,Silenzio,Silence
ITEM_SLEEP,Sleep,Dormir,Schlaf,スリープの杖,Sommeil,Sonno,Sleep
ITEM_BERSERK,Berserk,Bárbaro,Berserker,バサークの杖,Furie,Berserk,Berserk
ITEM_BROKENSTAFF,Broken staff,Broken staff,Broken staff,こわれた杖,Broken staff,Broken staff,Broken staff
ITEM_CHARM,Charm,Charm,Charm,チャームの杖,Charm,Charm,Charm
ITEM_THIEF,Thief,Thief,Thief,シーフの杖,Thief,Thief,Thief
ITEM_TYRFING,Tyrfing,Tyrfing,Tyrfing,ティルフィング,Tyrfing,Tyrfing,Tyrfing
ITEM_BALMUNG,Balmung,Balmung,Balmung,バルムンク,Balmung,Balmung,Balmung
ITEM_MYSTLETAINN,Mystletainn,Mistilteinn,Misteltein,ミストルティン,Mistilteinn,Mystletainn,Mystletainn
ITEM_GUNGNIR,Gungnir,Gungnir,Gungnir,グングニル,Gungnir,Gungnir,Gungnir
