,en,es,de,ja,fr,it,pt
SKILL_PAVISE,Pavise,Pavés,Pavise,おおたて,Protection,Ultradifesa,Pavise
SKILL_WRATH,Wrath,Furia,Ingrimm,いかり,Courroux,Ira,Wrath
SKILL_PURSUIT,Pursuit,Pursuit,Pursuit,ついげき,Pursuit,Pursuit,Pursuit
SKILL_ADEPT,Adept,Adepto,Adept,れんぞく,Adepte,Folata,Adept
SKILL_STEAL,Steal,Robar,Stehlen,ぬすむ,Voler,Furto,Steal
SKILL_DANCE,Dance,Bailar,Tanzen,おどる,Danser,Danza,Dance
SKILL_CHARM,Charm,Carisma,Charme,カリスマ,Charisme,Malia,Charm
SKILL_NIHIL,Nihil,Arrojo,Negation,みきり,Nihil,Vuoto,Nihil
SKILL_MIRACLE,Miracle,Milagro,Arkanum,いのり,Miracle,Miracolo,Miracle
SKILL_CRITICAL,Critical,Crítico,Kritischer,ひっさつ,Critique,Triplo,Critical
SKILL_VANTAGE,Vantage,Emboscada,Vorteil,まちぶせ,Initiative,Vantaggio,Vantage
SKILL_ACCOST,Accost,Accost,Accost,とつげき,Accost,Accost,Accost
SKILL_ASTRA,Astra,Fobos* / Astrea*,Astra,りゅうせい剣,Stellaire,Astra,Astra
SKILL_LUNA,Luna,Selene,Mond,げっこう剣,Lunaire,Luna,Luna
SKILL_SOL,Sol,Sol,Sol,たいよう剣,Sol,Sol,Sol
SKILL_RENEWAL,Renewal,Renewal,Renewal,ライブ,Renewal,Renewal,Renewal
SKILL_PARAGON,Paragon,Paragón,Elite,エリート,Élite,Duplex,Paragon
SKILL_BARGAIN,Bargain,Bargain,Bargain,ねぎり,Bargain,Bargain,Bargain
