,en,es,de,ja,fr,it
,,,,,,
C1WEISSMANDEATH,D-Damn... You'll... live to regret this...all of you...,,,,,
C1WEISSMANFIGHT,"Do you fools realise what you're doing?! If I die, so do the women we took!",,,,,
,,,,,,
C1OUTRO-LEIF1,"Nanna! Mareeta! Where are you!? Please, answer me!",,,,,
C1OUTRO-EYVEL1,"Little Nan, Mareeta... Raydrik must've taken'em.",,,,,
C1OUTRO-LEIF2,"What!? That means... they were taken to Manster, right?",,,,,
C1OUTRO-EYVEL2-1,"Yeah -as bargaining chips, in case Weissman couldn't finish the job. It's sort of thing Raydrik would pull, all right.",,,,,
C1OUTRO-EYVEL2-2,"It's sort of thing Raydrik would pull, all right.",,,,,
C1OUTRO-LEIF3-1,"God's breath... Commander, we have to give chase!",,,,,
C1OUTRO-LEIF3-2,The two of them are counting on us!,,,,,
C1OUTRO-EYVEL3,"Now look here, little Leif-",,,,,
C1OUTRO-LEIF4-1,"Commander, you yourself said it: I'm not a child anymore.",,,,,
C1OUTRO-LEIF4-2,Nanna and Mareeta were taken captive because of me -and I refuse to let anyone suffer in my place.,,,,,
C1OUTRO-LEIF4-3,I will never again let someone sacrifice their life in exchange for mine.,,,,,
C1OUTRO-EYVEL4-1,"...I understand. We leave at dawn, then.",,,,,
C1OUTRO-EYVEL4-2,I won't lie little Lord: this is gonna get rough.,,,,,
C1OUTRO-EYVEL4-3,Get some rest while you can.,,,,,
,,,,,,
C1OSIAN-TANYA-O1,Tanya? What are you doing here?,,,,,
C1OSIAN-TANYA-T1-1,"What does it look like, Osian?",,,,,
C1OSIAN-TANYA-T1-2,"I'm here to help you guys, any way I can!",,,,,
C1OSIAN-TANYA-O2-1,"""Help any way you can"", huh?",,,,,
C1OSIAN-TANYA-O2-2,"In that case, turn tail and march back home.",,,,,
C1OSIAN-TANYA-O2-3,That's the only way a kid like you could help -you'd just get in the way.,,,,,
C1OSIAN-TANYA-T2-1,"You've got some nerve, Osian!",,,,,
C1OSIAN-TANYA-T2-2,"You're just a kid yourself, you know!?",,,,,
C1OSIAN-TANYA-T2-3,"You want me gone, I'm gone -not all of us are as eager to throw ourselves into danger as you!",,,,,
,,,,,,
C1NARRATOR1-1,"Barely escaping the burning of Castle Lenster with his life,",,,,,
C1NARRATOR1-2,"young Prince Leif was looked after by Finn, his last knight and retainer.",,,,,
C1NARRATOR1-3,"Together with Finn's daughter, Nanna, the trio fled pursuers sent by the conquerors of North Thracia: the Grannvale Empire, which lay to the west.",,,,,
C1NARRATOR1-4,"Yet Finn proved stronger than those who hunted them, and the three made their way to the cities",,,,,
C1NARRATOR1-5,of Alster,,,,,
C1NARRATOR1-6," and Tahra, posing as common vagrants.",,,,,
C1NARRATOR1-7,"Eventually, they drifted into Fiana, a small village on Thracia's eastern coast.",,,,,
C1NARRATOR1-8,"Fiana was an independent community with its own militia, the Fiana Freeblades,",,,,,
C1NARRATOR1-9,"lead by the swordswoman Eyvel, who welcomed Leaf's group as if they were her own kin.",,,,,
C1NARRATOR1-10,"Under her watchful eye, the deposed prince spent his childhood in Fiana, growing into maturity alongside youths of common birth.",,,,,
C1NARRATOR1-11,"But now, in the year 776 of the Grannvale Calendar...",,,,,
,,,,,,
C1HOUSE1-1,Those Imperial dogs took Dame Mareeta and Lady Nanna -just snatched'em right up like was cattle!,,,,,
C1HOUSE1-2,"You're not gonna let'em get away with that, are you?",,,,,
C1HOUSE1-3,"If you're fixin' to fight the Empire, take this with you.",,,,,
C1HOUSE1-4,This here ring's enchanted with some spell or another.,,,,,
C1HOUSE1-5,But don't just wear it on your finger like some common bauble!,,,,,
C1HOUSE1-6,You gotta actually USE it for it to do any good!,,,,,
,,,,,,
C1HOUSE2-1,Y'all made it back! What a relief...,,,,,
C1HOUSE2-2,"But look, there's no Fiana Freeblades without Fiana, right?",,,,,
C1HOUSE2-3,"So don't just stop with them pirates -drive the Empire from our village, too!",,,,,
C1HOUSE2-4,"Not to imply that I ain't grateful, a' course.",,,,,
C1HOUSE2-5,Take this with you. Use it if you get scraped up.,,,,,
C1HOUSE2-6,"We don't have much in the way of medicine, but it's the least we can do after everythin' the Commander's done fer us.",,,,,
,,,,,,
C1HOUSE3-1,"Weapons can be mighty expensive, can't they?",,,,,
C1HOUSE3-2,Most folk here gotta make do by nicking supplies from Imperial troops.,,,,,
C1HOUSE3-3,"It's awful risky, but if you can capture an enemy alive, you get to help yourself to their stuff.",,,,,
C1HOUSE3-4,"Matter of fact, I got the drop of an Imperial soldier myself.",,,,,
C1HOUSE3-5,"Heard'im snoring from three houses away, so I took me a souvenir!",,,,,
C1HOUSE3-6,"...Not that it'll do me much good, though.",,,,,
C1HOUSE3-7,"Probably better off in your hands, I reckon.",,,,,
C1HOUSE3-8,"And hey, if you don't need it, you can just hawk it for somethin' you do need.",,,,,
,,,,,,
C1HOUSE4A-M1,"You pullin' your weight in the Freeblades, boy?",,,,,
C1HOUSE4A-M2,Last thing the Commander Eyvel needs is to babysit you.,,,,,
C1HOUSE4A-O1,"We're risking life and limb to protect the village, and you're giving me a lecture?",,,,,
C1HOUSE4A-O2,"You've got a strange sense of gratitude, old man.",,,,,
C1HOUSE4A-M3,"Not even the Empire knockin' down our front door can stop that fool mouth of yours, I see.",,,,,
C1HOUSE4A-M4,"Well, no point in draggin' this out. Here. This is what you came for, right?",,,,,
C1HOUSE4A-O3,For once you read my mind.,,,,,
C1HOUSE4A-O4,"When a fight breaks out, I just feel off without this axe at my side.",,,,,
C1HOUSE4A-M5,Which don't explain why you forget it at home half the damn time!,,,,,
